pathway,pathwayTitle,total_inchikeys,matched,ratio
WP5104,Acquired partial lipodystrophy / Barraquer-Simons syndrome,1,0,0.0
WP5113,Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway,3,0,0.0
WP5122,Prostaglandin and leukotriene metabolism in senescence,20,0,0.0
WP5123,Mitochondrial fatty acid oxidation disorders,4,0,0.0
WP5124,Alzheimer's disease,10,0,0.0
WP5128,Fibrin complement receptor 3 signaling pathway,2,0,0.0
WP5133,Non-classical role of vitamin D,7,0,0.0
WP5143,GDNF signaling,7,0,0.0
WP5144,NRP1-triggered signaling pathways in pancreatic cancer,1,0,0.0
WP5145,COVID-19 structural coverage map,1,0,0.0
WP5151,Sialylation,6,0,0.0
WP5152,Iron-sulfur cluster biogenesis,2,0,0.0
WP5153,N-glycan biosynthesis,7,0,0.0
WP5154,Docosahexaenoic acid oxylipin metabolism,35,0,0.0
WP5155,"Arachidonic acid (AA, ARA) oxylipin metabolism",79,0,0.0
WP5171,Leukotriene metabolic pathway,20,0,0.0
WP5172,Iron metabolism disorders,4,0,0.0
WP5173,Disorders of galactose metabolism,6,0,0.0
WP5174,Ulcerative colitis signaling,1,0,0.0
WP5175,Disorders in ketone body synthesis,12,0,0.0
WP5179,Biosynthesis and turnover of 1-deoxy-sphingoid bases,14,0,0.0
WP5180,DYRK1A involvement regarding cell proliferation in brain development,1,0,0.0
WP5182,Pro-survival signaling of neuroprotectin D1,1,0,0.0
WP5183,SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction,5,0,0.0
WP5188,Retinol metabolism,9,0,0.0
WP5189,Copper metabolism,2,0,0.0
WP519,Proteasome degradation,1,0,0.0
WP5191,Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution,6,0,0.0
WP5199,"PtdIns(4,5)P2 in cytokinesis pathway",1,0,0.0
WP5201,Phospholipid biosynthesis,9,0,0.0
WP5205,Clock-controlled autophagy in bone metabolism,1,0,0.0
WP5218,Extrafollicular and follicular B cell activation by SARS-CoV-2,1,0,0.0
WP5219,Diet-dependent trimethylamine/trimethylamine N-oxide metabolism,13,0,0.0
WP523,Regulation of actin cytoskeleton,3,0,0.0
WP5231,Hippocampal synaptogenesis and neurogenesis,7,0,0.0
WP5233,Arsenic metabolism and reactive oxygen species generation,14,0,0.0
WP5235,Estradiol regulation in porto-sinusoidal vascular disease,4,0,0.0
WP525,Mitochondrial unfolded-protein response,2,0,0.0
WP5258,Role of ROS in COVID-19 endothelial dysfunction,1,0,0.0
WP5260,Physiopathology of endothelial dysfunction in COVID-19,1,0,0.0
WP5269,Genetic causes of porto-sinusoidal vascular disease,8,0,0.0
WP5273,Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists,14,0,0.0
WP5275,Ether lipid biosynthesis,2,0,0.0
WP5276,Estrogen metabolism,23,0,0.0
WP5279,Mineralocorticoid biosynthesis,17,0,0.0
WP528,Acetylcholine synthesis,10,0,0.0
WP5280,Glucocorticoid biosynthesis,25,0,0.0
WP5283,Chronic hyperglycemia impairment of neuron function,11,0,0.0
WP5285,Immune infiltration in pancreatic cancer,2,0,0.0
WP529,mRNA processing,1,0,0.0
WP5300,TROP2 regulatory signaling,1,0,0.0
WP531,DNA mismatch repair,1,0,0.0
WP5318,Female steroid hormones in cardiomyocyte energy metabolism,2,0,0.0
WP5321,Prostaglandin and leukotriene metabolism in senescence,20,0,0.0
WP5342,Pathophysiological roles of DUX4 in FSHD1,2,0,0.0
WP5344,Cardiomyocyte signaling pathways converging on Titin,4,0,0.0
WP5345,1p36 copy number variation syndrome,9,0,0.0
WP5346,8p23.1 copy number variation syndrome,13,0,0.0
WP5351,Kleefstra syndrome,2,0,0.0
WP5352,10q11.21q11.23 copy number variation syndrome,12,0,0.0
WP5354,Ergosterol biosynthesis,34,0,0.0
WP5362,TAR syndrome,1,0,0.0
WP5366,NF1 copy number variation syndrome,4,0,0.0
WP5368,Sulfatase and aromatase pathway,14,0,0.0
WP5372,Involvement of δ-secretase in neurodegenerative diseases,2,0,0.0
WP5373,"Role of hypoxia, angiogenesis, and FGF pathway in OA chondrocyte hypertrophy",3,0,0.0
WP5385,Growth factors and hormones in Beta-cell proliferation,3,0,0.0
WP5392,CBD synthetic pathway,10,0,0.0
WP5394,UDP-derived sugars synthesis in fibroblasts,11,0,0.0
WP5395,Glycosaminoglycan synthesis in fibroblasts,7,0,0.0
WP5396,Enterohepatic circulation of bile acids,2,0,0.0
WP5397,Vitamin A1 and A5/X pathways,7,0,0.0
WP5405,13q12 or CRYL1 copy number variation,5,0,0.0
WP5409,PAFAH1B1 copy number variation,1,0,0.0
WP5414,IDO metabolic pathway,9,0,0.0
WP543,Synthesis and degradation of ketone bodies,5,0,0.0
WP545,Complement activation,1,0,0.0
WP546,Lactose degradation and galactose metabolism,9,0,0.0
WP547,Complement and coagulation cascades,1,0,0.0
WP552,Octane oxidation,8,0,0.0
WP554,ACE inhibitor pathway,10,0,0.0
WP557,ACE inhibitor pathway,4,0,0.0
WP558,Complement and coagulation cascades,1,0,0.0
WP570,Monoamine GPCRs,7,0,0.0
WP58,Monoamine GPCRs,8,0,0.0
WP580,Dauer formation,1,0,0.0
WP60,Toluene degradation,6,0,0.0
WP622,Long-day flowering time pathway,1,0,0.0
WP623,Oxidative phosphorylation,5,0,0.0
WP626,Abscisic acid biosynthesis,5,0,0.0
WP63,Pentose phosphate pathway,9,0,0.0
WP656,p53 signal pathway,2,0,0.0
WP670,Pentose phosphate pathway 2,12,0,0.0
WP673,ErbB signaling pathway,2,0,0.0
WP678,Arachidonate epoxygenase / epoxide hydrolase,10,0,0.0
WP683,Leptin and adiponectin,2,0,0.0
WP688,Catalytic cycle of mammalian flavin-containing monooxygenases (FMOs),8,0,0.0
WP690,Polyol pathway,12,0,0.0
WP691,Tamoxifen metabolism,12,0,0.0
WP692,Sulfation biotransformation reaction,10,0,0.0
WP694,Arylamine metabolism,3,0,0.0
WP696,Benzo(a)pyrene metabolism,7,0,0.0
WP697,Estrogen metabolism,26,0,0.0
WP699,Aflatoxin B1 metabolism,7,0,0.0
WP707,DNA damage response,3,0,0.0
WP71,Lipases biosynthesis,2,0,0.0
WP712,Estrogen signaling pathway,2,0,0.0
WP716,Vitamin A and carotenoid metabolism,19,0,0.0
WP722,Serotonin HTR1 group and FOS pathway,5,0,0.0
WP73,G protein signaling pathways,3,0,0.0
WP732,Serotonin receptor 2 and ELK-SRF/GATA4 signaling,4,0,0.0
WP734,Serotonin receptor 4/6/7 and NR3C signaling,2,0,0.0
WP75,Toll-like receptor signaling pathway,1,0,0.0
WP755,Nuclear receptors in lipid metabolism and toxicity,2,0,0.0
WP763,Mitochondrial long chain fatty acid beta-oxidation,1,0,0.0
WP769,MAPK signaling pathway,4,0,0.0
WP784,Ketone bodies synthesis and degradation,5,0,0.0
WP793,mRNA processing,1,0,0.0
WP80,Nucleotide GPCRs,2,0,0.0
WP801,ACE inhibitor pathway,4,0,0.0
WP805,Retinol metabolism,9,0,0.0
WP813,G protein signaling pathways,3,0,0.0
WP824,Regulation of actin cytoskeleton,1,0,0.0
WP835,Glycogen metabolism,3,0,0.0
WP839,Monoamine GPCRs,6,0,0.0
WP848,Heme biosynthesis,7,0,0.0
WP854,Eicosanoid synthesis,13,0,0.0
WP880,MAPK signaling pathway,4,0,0.0
WP898,Ketone bodies synthesis and degradation,5,0,0.0
WP906,mRNA Processing,1,0,0.0
WP91,Fatty acid oxidation,6,0,0.0
WP915,ACE inhibitor pathway,4,0,0.0
WP921,Statin pathway,1,0,0.0
WP925,Aflatoxin B1 metabolism,6,0,0.0
WP931,G protein signaling pathways,3,0,0.0
WP936,Polyol pathway,8,0,0.0
WP955,Glycogen metabolism,3,0,0.0
WP957,Monoamine GPCRs,4,0,0.0
WP96,Glycolysis and Gluconeogenesis,9,0,0.0
WP971,Small ligand GPCRs,2,0,0.0
WP972,Eicosanoid synthesis,17,0,0.0
WP977,"Complement activation, classical pathway",1,0,0.0
WP98,Prostaglandin synthesis and regulation,12,0,0.0
WP983,DNA replication,6,0,0.0
WP986,Estrogen signaling pathway,2,0,0.0
WP988,Transcriptional activation by NRF2,4,0,0.0
WP989,Mitochondrial long chain fatty acid beta-oxidation,2,0,0.0
WP993,Arylamine metabolism,3,0,0.0
WP994,Oxidative phosphorylation,5,0,0.0
WP995,Prostaglandin synthesis and regulation,9,0,0.0
WP998,MAPK signaling pathway,4,0,0.0
