pathway,pathwayTitle,total_inchikeys,matched,ratio
WP2728,"Incretin synthesis, secretion, and inactivation",20,4,0.2
WP3349,TP53 Regulates Metabolic Genes,20,4,0.2
WP2685,"GABA synthesis, release, reuptake and degradation",15,3,0.2
WP3130,SIDS susceptibility pathways,15,3,0.2
WP4435,Serine biosynthesis,15,3,0.2
WP706,Sudden infant death syndrome (SIDS) susceptibility pathways,15,3,0.2
WP194,Phenylalanine biosynthesis,10,2,0.2
WP2447,Amyotrophic lateral sclerosis (ALS),10,2,0.2
WP301,Tryptophan degradation,10,2,0.2
WP3243,Amyotrophic lateral sclerosis (ALS),10,2,0.2
WP504,Fatty acid biosynthesis,10,2,0.2
WP1099,Nuclear receptors in lipid metabolism and toxicity,5,1,0.2
WP1326,Nuclear receptors in lipid metabolism and toxicity,5,1,0.2
WP139,Nuclear receptors in lipid metabolism and toxicity,5,1,0.2
WP1794,Cell surface interactions at the vascular wall,5,1,0.2
WP1799,Costimulation by the CD28 family,5,1,0.2
WP180,Leucine biosynthesis,5,1,0.2
WP1927,TCR signaling,5,1,0.2
WP2293,Biosynthesis and regulation of nematode bile acids,5,1,0.2
WP2657,Growth hormone receptor signaling,5,1,0.2
WP2683,Influenza Infection,5,1,0.2
WP2708,Collagen degradation,5,1,0.2
WP2729,Metabolism of angiotensinogen to angiotensins,5,1,0.2
WP3336,Signaling by FGFR3,5,1,0.2
WP3351,RHO GTPases activate PAKs,5,1,0.2
WP3379,RHO GTPases activate formins,5,1,0.2
WP38,Fatty acid biosynthesis,5,1,0.2
WP4035,Intestinal absorption,5,1,0.2
WP4448,PI3K Cascade,5,1,0.2
WP4460,OAS antiviral response,5,1,0.2
WP5238,Cholestasis,5,1,0.2
WP863,Nuclear receptors in lipid metabolism and toxicity,5,1,0.2
WP92,De novo biosynthesis of pyrimidine ribonucleotides,21,4,0.19047619047619047
WP4297,Thiamine metabolic pathways,16,3,0.1875
WP1770,One-carbon metabolism and related pathways,38,7,0.18421052631578946
WP78,TCA cycle (aka Krebs or citric acid cycle),22,4,0.18181818181818182
WP999,TCA cycle,22,4,0.18181818181818182
WP2487,NAD salvage pathway II,11,2,0.18181818181818182
WP2759,Fc epsilon receptor (FCERI) signaling,11,2,0.18181818181818182
WP2862,Glycolysis,11,2,0.18181818181818182
WP345,Glycine degradation,11,2,0.18181818181818182
WP3860,Glucose sensing and signaling,11,2,0.18181818181818182
WP398,Trehalose anabolism,11,2,0.18181818181818182
WP4345,Glycerolipids and glycerophospholipids,11,2,0.18181818181818182
WP4486,Role of carnosine in muscle contraction,11,2,0.18181818181818182
WP4722,Glycerolipids and glycerophospholipids,11,2,0.18181818181818182
WP5050,TCA cycle in senescence,11,2,0.18181818181818182
